Select 	CRN 	Subj 	Crse 	Sec 	Cmp 	Cred 	Part of Term 	Title 	Days 	Time 	Cap 	Act 	Rem 	Instructor 	Date (MM/DD) 	Location 	Attribute
SR 	82904 	CSCE 	101 	001 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	MW 	08:30 am-09:20 am 	24 	11 	13 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	08:30 am-09:20 am 	  	  	  	TBA 	08/21-12/05 	SMWALT 244 	ARP Analytical Reasoning
SR 	82906 	CSCE 	101 	002 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	MW 	08:30 am-09:20 am 	24 	2 	22 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	09:40 am-10:30 am 	  	  	  	TBA 	08/21-12/05 	SMWALT 244 	ARP Analytical Reasoning
SR 	82909 	CSCE 	101 	003 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	MW 	08:30 am-09:20 am 	24 	5 	19 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	08:30 am-09:20 am 	  	  	  	TBA 	08/21-12/05 	SMWALT 244 	ARP Analytical Reasoning
SR 	82915 	CSCE 	101 	004 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	MW 	10:50 am-11:40 am 	24 	2 	22 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	03:30 pm-04:20 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 244 	ARP Analytical Reasoning
SR 	82917 	CSCE 	101 	005 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	MW 	10:50 am-11:40 am 	24 	20 	4 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	F 	10:50 am-11:40 am 	  	  	  	TBA 	08/21-12/05 	SMWALT 244 	ARP Analytical Reasoning
SR 	82918 	CSCE 	101 	006 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Concepts 	MW 	10:50 am-11:40 am 	24 	12 	12 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
